device_id,device_type,operating_system,browser_name,screen_resolution,device_language,first_seen_date,last_seen_date,device_risk_score,is_emulator,is_rooted,device_manufacturer,device_model,ip_address_last,geolocation_city,geolocation_province
DEV00000041,Android_Mobile,Android 13,Chrome,1170x2532,en-ZA,2025-07-13,2025-12-26,2,False,False,Samsung,Galaxy A34,212.133.101.117,Stellenbosch,Western Cape
DEV00000042,iPhone_Mobile,iOS 17,Chrome,1080x2400,en,2025-08-30,2025-09-17,57,False,False,Apple,iPhone 13,154.172.4.96,Gqeberha,Eastern Cape
DEV00000043,iPhone_Mobile,iOS 15,Edge,1920x1080,en,2022-02-19,2022-02-19,62,False,False,Apple,iPhone 12,21.5.208.209,Nelspruit,Mpumalanga
DEV00000044,Android_Mobile,Android 14,Chrome,1080x2400,en,2024-07-11,2024-11-11,20,False,False,Samsung,Galaxy A34,105.218.134.134,Paarl,Western Cape
DEV00000045,Android_Mobile,Android 13,Chrome,1080x2400,en-ZA,2025-07-28,2025-12-21,99,False,False,Samsung,Galaxy S22,222.155.250.3,Johannesburg,Gauteng
DEV00000046,iPhone_Mobile,iOS 15,Chrome,1080x2400,zu,2025-05-14,2025-10-22,57,False,False,Apple,iPhone 14,217.237.97.62,Welkom,Free State
DEV00000047,Windows_Laptop,Windows 11,Chrome,1080x2400,en-ZA,2022-07-23,2022-07-23,21,False,False,HP,ThinkPad,45.106.238.180,Tzaneen,Limpopo
DEV00000048,Android_Mobile,Android 13,Chrome,1920x1080,en-ZA,2024-02-17,2025-10-12,57,False,False,Samsung,Galaxy A54,161.71.138.143,Johannesburg,Gauteng
DEV00000049,Android_Mobile,Android 13,Chrome,1920x1080,en-ZA,2024-09-14,2024-09-14,82,False,True,Samsung,Galaxy A34,114.35.129.206,East London,Eastern Cape
DEV00000050,iPhone_Mobile,iOS 16,Chrome,1920x1080,en-ZA,2024-08-27,2024-11-29,97,False,False,Apple,iPhone 15,168.183.155.186,Durban,KwaZulu-Natal
DEV00000051,Windows_Laptop,Windows 10,Chrome,1366x768,en-ZA,2022-05-26,2022-05-26,45,False,False,HP,EliteBook,21.30.63.167,Pietermaritzburg,KwaZulu-Natal
DEV00000052,Android_Mobile,Android 12,Safari,1440x900,en-ZA,2024-07-24,2025-06-21,56,False,False,Samsung,Galaxy S23,65.190.188.190,Gqeberha,Eastern Cape
DEV00000053,iPhone_Mobile,iOS 17,Chrome,1440x900,en,2024-04-25,2025-06-17,28,False,False,Apple,iPhone 13,124.204.30.31,Soweto,Gauteng
DEV00000054,Windows_Laptop,Windows 10,Chrome,1170x2532,en-ZA,2025-06-02,2025-12-25,90,False,False,Lenovo,Latitude,20.120.251.121,Welkom,Free State
DEV00000055,Android_Tablet,Android 14,Edge,1366x768,en-ZA,2023-07-09,2024-01-09,90,False,False,Samsung,Galaxy A34,141.65.162.97,Pretoria,Gauteng
DEV00000056,Android_Mobile,Android 13,Chrome,1080x2400,en-ZA,2023-12-03,2023-12-03,70,False,False,Samsung,Galaxy S22,59.117.176.234,Mahikeng,North West
DEV00000057,iPad_Tablet,iOS 16,Chrome,1440x900,en-ZA,2022-08-09,2023-02-24,93,False,False,Apple,iPad Air,6.196.84.138,Johannesburg,Gauteng
DEV00000058,Android_Mobile,Android 12,Safari,1170x2532,en-ZA,2023-04-09,2024-01-11,10,False,False,Samsung,Galaxy A54,25.243.220.193,Pretoria,Gauteng
DEV00000059,Android_Mobile,Android 14,Edge,1366x768,en-ZA,2025-10-10,2025-10-18,46,False,False,Samsung,Galaxy A54,142.204.10.216,Pietermaritzburg,KwaZulu-Natal
DEV00000060,Android_Mobile,Android 13,Safari,1366x768,en-ZA,2024-03-29,2025-02-23,32,False,False,Samsung,Galaxy A54,54.230.122.53,Durban,KwaZulu-Natal
DEV00000061,Windows_Laptop,Windows 10,Chrome,1170x2532,en-ZA,2023-07-28,2023-07-28,8,False,False,Acer,Inspiron,220.110.239.121,Stellenbosch,Western Cape
DEV00000062,iPhone_Mobile,iOS 15,Safari,1170x2532,en-ZA,2025-03-17,2025-03-17,50,False,False,Apple,iPhone 13,212.4.110.89,Johannesburg,Gauteng
DEV00000063,iPhone_Mobile,iOS 15,Chrome,1440x900,en-ZA,2022-09-05,2022-09-05,57,False,False,Apple,iPhone 13,30.233.188.235,Johannesburg,Gauteng
DEV00000064,Android_Tablet,Android 14,Chrome,1920x1080,en,2025-09-03,2025-09-03,40,False,False,Samsung,Galaxy S23,72.104.221.66,Nelspruit,Mpumalanga
DEV00000065,Android_Mobile,Android 12,Chrome,1080x2400,en-ZA,2025-07-11,2025-09-29,87,False,False,Samsung,Galaxy S22,35.59.214.104,Pretoria,Gauteng
DEV00000066,Android_Mobile,Android 12,Chrome,1170x2532,en-ZA,2025-12-04,2025-12-04,12,True,False,Samsung,Galaxy S22,198.233.7.154,Gqeberha,Eastern Cape
DEV00000067,iPhone_Mobile,iOS 17,Safari,1920x1080,en-ZA,2022-06-26,2022-06-26,18,False,False,Apple,iPhone 15,148.48.3.126,Ballito,KwaZulu-Natal
DEV00000068,Android_Mobile,Android 14,Chrome,1170x2532,en,2025-06-21,2025-10-03,67,False,False,Samsung,Galaxy A14,163.180.135.225,Gqeberha,Eastern Cape
DEV00000069,Windows_Laptop,Windows 11,Chrome,1080x2400,en,2022-09-28,2023-08-05,30,False,False,HP,Latitude,81.1.225.59,Welkom,Free State
DEV00000070,MacBook_Laptop,macOS Monterey,Chrome,1440x900,en-ZA,2023-01-14,2023-01-14,16,False,False,Apple,MacBook Pro,199.204.144.47,Polokwane,Limpopo
DEV00000071,Windows_Laptop,Windows 11,Safari,1440x900,other,2023-06-28,2025-04-24,68,False,False,Lenovo,Aspire,223.149.45.42,East London,Eastern Cape
DEV00000072,iPad_Tablet,iOS 15,Chrome,1080x2400,en-ZA,2022-07-17,2022-07-17,68,False,False,Apple,iPad Air,141.253.83.55,Gqeberha,Eastern Cape
DEV00000073,Windows_Laptop,Windows 10,Chrome,1080x2400,en-ZA,2023-12-06,2025-12-29,23,False,False,Dell,ThinkPad,98.219.189.86,Witbank,Mpumalanga
DEV00000074,Android_Mobile,Android 13,Chrome,1170x2532,zu,2022-08-31,2024-09-06,4,False,False,Samsung,Galaxy S23,79.213.226.140,Soweto,Gauteng
DEV00000075,Android_Mobile,Android 13,Chrome,1366x768,en-ZA,2025-07-23,2025-08-07,92,False,False,Samsung,Galaxy A14,29.125.240.235,Gqeberha,Eastern Cape
DEV00000076,Android_Mobile,Android 12,Chrome,1080x2400,en-ZA,2024-01-12,2024-07-23,84,False,False,Samsung,Galaxy A34,115.7.54.208,Tzaneen,Limpopo
DEV00000077,Android_Mobile,Android 14,Chrome,1080x2400,en-ZA,2022-03-11,2024-10-22,89,False,False,Samsung,Galaxy S23,159.35.130.229,Pietermaritzburg,KwaZulu-Natal
DEV00000078,Android_Mobile,Android 12,Chrome,1170x2532,en-ZA,2025-01-20,2025-02-05,65,False,False,Samsung,Galaxy S23,73.148.198.244,Cape Town,Western Cape
DEV00000079,iPhone_Mobile,iOS 16,Chrome,1920x1080,en-ZA,2025-12-16,2025-12-19,41,False,False,Apple,iPhone 13,152.140.161.25,Stellenbosch,Western Cape
DEV00000080,Android_Mobile,Android 12,Safari,1366x768,en-ZA,2024-07-23,2025-10-04,35,False,False,Samsung,Galaxy A34,225.13.130.50,Soweto,Gauteng
DEV00000081,iPhone_Mobile,iOS 15,Safari,1366x768,en-ZA,2023-04-22,2023-04-22,13,False,False,Apple,iPhone 14,111.165.234.46,Pietermaritzburg,KwaZulu-Natal
DEV00000082,Windows_Laptop,Windows 10,Chrome,1920x1080,en-ZA,2024-07-20,2024-11-10,33,False,False,Dell,Aspire,88.215.28.42,Soweto,Gauteng
DEV00000083,Android_Mobile,Android 13,Chrome,1920x1080,en,2025-01-04,2025-01-04,55,False,False,Samsung,Galaxy A34,220.122.42.54,Witbank,Mpumalanga
DEV00000084,Android_Mobile,Android 13,Chrome,1080x2400,en-ZA,2024-05-29,2024-05-29,24,False,True,Samsung,Galaxy S22,11.243.189.151,Cape Town,Western Cape
DEV00000085,iPhone_Mobile,iOS 15,Chrome,1170x2532,zu,2024-10-29,2024-10-29,42,False,False,Apple,iPhone 15,128.145.238.54,Soweto,Gauteng
DEV00000086,Android_Mobile,Android 14,Chrome,1440x900,en-ZA,2023-07-02,2023-07-02,30,False,False,Samsung,Galaxy S23,203.12.240.73,Upington,Northern Cape
DEV00000087,Android_Tablet,Android 13,Chrome,1170x2532,en-ZA,2025-03-31,2025-10-07,91,False,False,Samsung,Galaxy A54,88.144.118.98,Gqeberha,Eastern Cape
DEV00000088,Android_Mobile,Android 13,Chrome,1440x900,xh,2025-03-26,2025-04-10,56,False,False,Samsung,Galaxy A54,31.226.190.139,Pietermaritzburg,KwaZulu-Natal
DEV00000089,Android_Mobile,Android 14,Chrome,1366x768,en-ZA,2024-02-27,2024-04-29,60,False,False,Samsung,Galaxy A14,221.38.52.253,Bloemfontein,Free State
DEV00000090,Android_Mobile,Android 13,Chrome,1080x2400,en,2025-07-31,2025-11-21,85,False,False,Samsung,Galaxy A34,239.249.182.3,Soweto,Gauteng
DEV00000091,iPhone_Mobile,iOS 17,Chrome,1920x1080,en,2024-04-02,2024-04-02,3,False,False,Apple,iPhone 13,75.147.80.31,Johannesburg,Gauteng
DEV00000092,MacBook_Laptop,macOS Ventura,Chrome,1366x768,en-ZA,2023-06-06,2023-10-08,14,False,False,Apple,MacBook Pro,180.184.104.203,Pretoria,Gauteng
DEV00000093,Android_Mobile,Android 13,Safari,1440x900,en-ZA,2022-01-15,2025-11-03,81,False,False,Samsung,Galaxy A14,18.40.226.117,Johannesburg,Gauteng
DEV00000094,Android_Mobile,Android 14,Chrome,1080x2400,en-ZA,2025-06-30,2025-10-03,22,False,False,Samsung,Galaxy A34,249.43.221.66,Cape Town,Western Cape
DEV00000095,iPad_Tablet,iOS 15,Chrome,1366x768,en-ZA,2025-10-06,2025-11-11,94,False,False,Apple,iPad Mini,246.108.242.219,Bloemfontein,Free State
DEV00000096,Android_Mobile,Android 13,Chrome,1440x900,en-ZA,2024-06-27,2024-06-27,77,False,False,Samsung,Galaxy A14,19.196.230.222,Pretoria,Gauteng
DEV00000097,iPad_Tablet,iOS 15,Chrome,1080x2400,en-ZA,2023-11-10,2025-03-09,53,False,False,Apple,iPad Air,59.130.54.207,Pietermaritzburg,KwaZulu-Natal
DEV00000098,Android_Mobile,Android 14,Chrome,1920x1080,en-ZA,2024-07-11,2025-03-20,9,False,False,Samsung,Galaxy A54,163.16.15.82,Soweto,Gauteng
DEV00000099,iPhone_Mobile,iOS 17,Chrome,1920x1080,en-ZA,2023-12-26,2023-12-26,56,False,False,Apple,iPhone 13,249.94.127.26,Pretoria,Gauteng
DEV00000100,iPhone_Mobile,iOS 16,Chrome,1920x1080,en-ZA,2022-03-25,2023-10-04,63,False,False,Apple,iPhone 12,108.103.102.5,Tzaneen,Limpopo
DEV00000101,Android_Mobile,Android 12,Chrome,1080x2400,en-ZA,2025-02-13,2025-02-13,11,False,True,Samsung,Galaxy S23,40.149.20.199,Johannesburg,Gauteng
DEV00000102,Android_Mobile,Android 13,Chrome,1366x768,en-ZA,2023-09-26,2023-09-26,11,False,False,Samsung,Galaxy A34,173.78.134.72,Polokwane,Limpopo
DEV00000103,Android_Mobile,Android 14,Chrome,1440x900,en-ZA,2022-06-13,2025-12-06,43,False,False,Samsung,Galaxy A14,133.149.184.177,Johannesburg,Gauteng
DEV00000104,Android_Mobile,Android 12,Chrome,1366x768,en-ZA,2024-05-24,2024-09-22,10,False,False,Samsung,Galaxy A34,214.244.57.207,Ballito,KwaZulu-Natal
DEV00000105,iPhone_Mobile,iOS 15,Chrome,1170x2532,en-ZA,2025-03-26,2025-06-27,8,False,False,Apple,iPhone 12,237.218.49.186,Polokwane,Limpopo
DEV00000106,Windows_Laptop,Windows 11,Chrome,1920x1080,en-ZA,2023-09-28,2025-08-22,93,False,False,HP,Inspiron,204.50.192.239,Bloemfontein,Free State
DEV00000107,Android_Mobile,Android 12,Chrome,1080x2400,en-ZA,2022-04-22,2025-02-28,65,False,False,Samsung,Galaxy A14,92.188.130.228,Ballito,KwaZulu-Natal
DEV00000108,Android_Mobile,Android 13,Safari,1170x2532,en-ZA,2022-09-24,2022-11-28,97,False,False,Samsung,Galaxy A34,139.149.13.106,Durban,KwaZulu-Natal
DEV00000109,Windows_Laptop,Windows 11,Chrome,1366x768,en,2025-10-18,2025-12-15,82,False,False,Acer,Aspire,235.92.128.96,Pretoria,Gauteng
DEV00000110,Android_Mobile,Android 14,Chrome,1080x2400,en-ZA,2025-10-10,2025-11-08,90,False,False,Samsung,Galaxy S23,24.199.220.197,Witbank,Mpumalanga
DEV00000111,Android_Mobile,Android 12,Chrome,1170x2532,en-ZA,2024-04-10,2025-05-07,55,False,False,Samsung,Galaxy S23,217.122.210.81,Soweto,Gauteng
DEV00000112,Android_Mobile,Android 14,Safari,1170x2532,en-ZA,2023-07-21,2024-08-20,90,False,False,Samsung,Galaxy A14,129.2.218.49,Soweto,Gauteng
DEV00000113,Android_Mobile,Android 14,Chrome,1080x2400,en-ZA,2025-09-24,2025-11-17,17,False,False,Samsung,Galaxy S23,45.180.99.99,Ballito,KwaZulu-Natal
DEV00000114,Android_Tablet,Android 13,Chrome,1366x768,en,2024-06-09,2025-09-23,3,False,False,Samsung,Galaxy A54,146.164.136.243,Soweto,Gauteng
DEV00000115,iPhone_Mobile,iOS 16,Chrome,1080x2400,en,2025-07-01,2025-07-01,56,False,False,Apple,iPhone 12,26.217.113.66,Paarl,Western Cape
DEV00000116,Android_Mobile,Android 12,Chrome,1920x1080,en-ZA,2024-11-15,2025-04-16,15,False,False,Samsung,Galaxy S23,27.196.172.77,Cape Town,Western Cape
DEV00000117,Android_Mobile,Android 12,Edge,1170x2532,en-ZA,2023-01-28,2025-09-20,79,False,False,Samsung,Galaxy A14,11.17.218.84,Stellenbosch,Western Cape
DEV00000118,Android_Mobile,Android 12,Chrome,1080x2400,en-ZA,2025-03-07,2025-09-03,88,False,False,Samsung,Galaxy S22,3.244.111.138,Pretoria,Gauteng
DEV00000119,iPhone_Mobile,iOS 15,Safari,1440x900,en-ZA,2022-10-12,2024-07-05,91,False,False,Apple,iPhone 15,123.221.86.18,Pretoria,Gauteng
DEV00000120,Android_Mobile,Android 12,Chrome,1440x900,af,2024-08-26,2024-09-14,83,False,False,Samsung,Galaxy S22,243.188.205.166,Pietermaritzburg,KwaZulu-Natal
DEV00000121,iPhone_Mobile,iOS 16,Chrome,1170x2532,en-ZA,2023-01-31,2024-09-06,78,False,False,Apple,iPhone 13,117.122.164.140,Pretoria,Gauteng
DEV00000122,Windows_Laptop,Windows 11,Safari,1440x900,en-ZA,2023-08-21,2023-08-21,77,False,False,Lenovo,ThinkPad,9.154.34.187,Cape Town,Western Cape
DEV00000123,Android_Mobile,Android 13,Chrome,1170x2532,en-ZA,2025-11-06,2025-11-14,59,False,False,Samsung,Galaxy S23,223.19.237.107,Paarl,Western Cape
DEV00000124,MacBook_Laptop,macOS Sonoma,Chrome,1920x1080,en-ZA,2022-04-30,2022-06-18,35,False,False,Apple,MacBook Pro,111.1.53.151,Pietermaritzburg,KwaZulu-Natal
DEV00000125,Android_Mobile,Android 12,Chrome,1170x2532,en-ZA,2024-04-19,2025-12-14,34,False,False,Samsung,Galaxy S22,150.4.55.244,Soweto,Gauteng
DEV00000126,Android_Mobile,Android 14,Chrome,1440x900,en-ZA,2022-09-19,2025-04-07,27,False,False,Samsung,Galaxy S22,39.217.138.205,Stellenbosch,Western Cape
DEV00000127,Android_Mobile,Android 12,Chrome,1080x2400,en-ZA,2025-10-08,2025-12-26,35,False,False,Samsung,Galaxy A34,124.83.100.96,Durban,KwaZulu-Natal
DEV00000128,Android_Mobile,Android 14,Chrome,1366x768,en-ZA,2022-01-10,2022-01-10,62,False,False,Samsung,Galaxy A34,226.204.188.119,Stellenbosch,Western Cape
DEV00000129,iPhone_Mobile,iOS 17,Chrome,1440x900,en-ZA,2022-03-08,2022-03-08,29,False,False,Apple,iPhone 12,193.220.24.223,Paarl,Western Cape
DEV00000130,Android_Mobile,Android 12,Chrome,1440x900,en-ZA,2025-03-30,2025-11-17,23,False,False,Samsung,Galaxy A34,163.159.132.219,Cape Town,Western Cape
DEV00000131,iPhone_Mobile,iOS 15,Chrome,1170x2532,en-ZA,2024-06-13,2024-06-13,17,False,False,Apple,iPhone 12,39.149.49.232,Bloemfontein,Free State
DEV00000132,Windows_Laptop,Windows 11,Chrome,1366x768,en-ZA,2022-09-15,2024-11-12,8,False,False,Dell,Inspiron,69.216.197.142,Welkom,Free State
DEV00000133,Android_Mobile,Android 14,Chrome,1920x1080,af,2022-12-09,2023-01-21,29,False,False,Samsung,Galaxy A54,179.49.40.126,Pietermaritzburg,KwaZulu-Natal
DEV00000134,Android_Mobile,Android 12,Safari,1366x768,en-ZA,2025-09-28,2025-09-28,79,False,False,Samsung,Galaxy A34,5.138.244.52,Ballito,KwaZulu-Natal
DEV00000135,Android_Mobile,Android 14,Chrome,1440x900,xh,2023-11-25,2023-12-11,95,False,False,Samsung,Galaxy A54,82.194.31.191,Gqeberha,Eastern Cape
DEV00000136,iPhone_Mobile,iOS 15,Safari,1440x900,en-ZA,2023-08-28,2024-05-09,9,False,False,Apple,iPhone 12,89.171.154.128,Pretoria,Gauteng
DEV00000137,Android_Mobile,Android 13,Chrome,1440x900,en,2023-09-18,2024-10-26,94,False,False,Samsung,Galaxy S23,62.103.196.25,Pretoria,Gauteng
DEV00000138,MacBook_Laptop,macOS Ventura,Chrome,1440x900,en-ZA,2023-07-10,2023-07-10,65,False,False,Apple,iMac,126.175.26.58,Johannesburg,Gauteng
DEV00000139,Android_Mobile,Android 12,Chrome,1440x900,en-ZA,2023-03-20,2023-03-20,24,False,False,Samsung,Galaxy A54,92.8.187.75,Pretoria,Gauteng
DEV00000140,Android_Mobile,Android 12,Chrome,1080x2400,en-ZA,2025-01-21,2025-10-17,51,False,False,Samsung,Galaxy S22,201.3.130.197,Durban,KwaZulu-Natal
DEV00000141,iPad_Tablet,iOS 17,Chrome,1440x900,en-ZA,2022-11-28,2023-06-20,67,False,False,Apple,iPad Air,205.247.217.91,Soweto,Gauteng
DEV00000142,Windows_Laptop,Windows 11,Chrome,1366x768,en-ZA,2025-01-02,2025-01-02,26,False,False,HP,ThinkPad,224.184.194.143,Soweto,Gauteng
DEV00000143,Android_Mobile,Android 14,Safari,1080x2400,en-ZA,2024-01-09,2025-11-26,43,False,False,Samsung,Galaxy A14,167.48.170.229,Gqeberha,Eastern Cape
DEV00000144,Android_Mobile,Android 13,Chrome,1080x2400,en-ZA,2022-08-24,2023-04-27,18,False,False,Samsung,Galaxy S23,76.47.50.95,Tzaneen,Limpopo
DEV00000145,Android_Tablet,Android 13,Chrome,1366x768,en-ZA,2022-06-17,2022-06-17,8,False,False,Samsung,Galaxy A54,251.210.106.67,Gqeberha,Eastern Cape
DEV00000146,iPhone_Mobile,iOS 16,Chrome,1440x900,en-ZA,2025-06-18,2025-06-18,0,False,False,Apple,iPhone 13,1.203.75.238,Tzaneen,Limpopo
DEV00000147,Android_Mobile,Android 14,Chrome,1170x2532,en,2025-01-04,2025-04-24,1,False,False,Samsung,Galaxy A14,189.57.73.13,Durban,KwaZulu-Natal
DEV00000148,iPhone_Mobile,iOS 17,Chrome,1920x1080,en,2022-07-01,2022-07-01,23,False,False,Apple,iPhone 12,101.200.236.35,Durban,KwaZulu-Natal
DEV00000149,Android_Mobile,Android 14,Safari,1366x768,en,2022-05-24,2022-09-29,69,False,False,Samsung,Galaxy A34,248.194.53.195,Pietermaritzburg,KwaZulu-Natal
DEV00000150,iPhone_Mobile,iOS 17,Safari,1920x1080,en-ZA,2024-09-25,2024-09-25,17,False,False,Apple,iPhone 13,20.79.176.16,Pietermaritzburg,KwaZulu-Natal
DEV00000151,Android_Mobile,Android 13,Chrome,1366x768,en,2023-06-19,2024-11-28,83,False,False,Samsung,Galaxy A14,88.75.48.25,Pretoria,Gauteng
DEV00000152,iPhone_Mobile,iOS 17,Edge,1366x768,en-ZA,2023-08-19,2023-08-19,44,False,False,Apple,iPhone 13,30.195.113.141,Soweto,Gauteng
DEV00000153,iPad_Tablet,iOS 15,Chrome,1440x900,en-ZA,2024-11-16,2024-11-17,29,False,False,Apple,iPad Pro,227.74.241.205,Ballito,KwaZulu-Natal
