link_id,customer_id,device_id,association_date,last_access_date,access_count,is_primary_device,link_type
LINK00000049,CUST00000049,DEV00019666,2025-08-02,2025-12-31,196,True,PRIMARY
LINK00000050,CUST00000050,DEV00003239,2022-11-16,2025-12-31,84,True,PRIMARY
LINK00000051,CUST00000051,DEV00022414,2024-06-28,2025-12-31,289,True,PRIMARY
LINK00000052,CUST00000052,DEV00006536,2025-01-05,2025-12-31,467,True,PRIMARY
LINK00000053,CUST00000053,DEV00024368,2024-07-13,2025-12-31,266,True,PRIMARY
LINK00000054,CUST00000054,DEV00013502,2022-04-30,2025-12-31,379,True,PRIMARY
LINK00000055,CUST00000055,DEV00026328,2024-09-26,2025-12-31,335,True,PRIMARY
LINK00000056,CUST00000056,DEV00020000,2023-09-05,2025-12-31,248,True,PRIMARY
LINK00000057,CUST00000057,DEV00022117,2024-08-06,2025-12-31,82,True,PRIMARY
LINK00000058,CUST00000058,DEV00011993,2023-08-05,2025-12-31,452,True,PRIMARY
LINK00000059,CUST00000059,DEV00019165,2023-03-11,2025-12-31,82,True,PRIMARY
LINK00000060,CUST00000060,DEV00013346,2025-10-27,2025-12-31,269,True,PRIMARY
LINK00000061,CUST00000061,DEV00006577,2025-07-26,2025-12-31,428,True,PRIMARY
LINK00000062,CUST00000062,DEV00003068,2025-05-05,2025-12-31,213,True,PRIMARY
LINK00000063,CUST00000063,DEV00012094,2023-12-02,2025-12-31,382,True,PRIMARY
LINK00000064,CUST00000064,DEV00012795,2023-12-10,2025-12-31,251,True,PRIMARY
LINK00000065,CUST00000065,DEV00004904,2024-12-27,2025-12-31,389,True,PRIMARY
LINK00000066,CUST00000066,DEV00004402,2022-08-26,2025-12-31,396,True,PRIMARY
LINK00000067,CUST00000067,DEV00018182,2024-02-12,2025-12-31,52,True,PRIMARY
LINK00000068,CUST00000068,DEV00027386,2024-08-01,2025-12-31,412,True,PRIMARY
LINK00000069,CUST00000069,DEV00000448,2023-02-03,2025-12-31,427,True,PRIMARY
LINK00000070,CUST00000070,DEV00016044,2024-09-06,2025-12-31,295,True,PRIMARY
LINK00000071,CUST00000071,DEV00010031,2023-11-03,2025-12-31,243,True,PRIMARY
LINK00000072,CUST00000072,DEV00019743,2022-12-29,2025-12-31,76,True,PRIMARY
LINK00000073,CUST00000073,DEV00004976,2023-04-08,2025-12-31,108,True,PRIMARY
LINK00000074,CUST00000074,DEV00004091,2025-01-23,2025-12-31,215,True,PRIMARY
LINK00000075,CUST00000075,DEV00012529,2022-11-04,2025-12-31,266,True,PRIMARY
LINK00000076,CUST00000076,DEV00003297,2023-10-26,2025-12-31,315,True,PRIMARY
LINK00000077,CUST00000077,DEV00004520,2023-11-23,2025-12-31,248,True,PRIMARY
LINK00000078,CUST00000078,DEV00015360,2023-09-12,2025-12-31,12,True,PRIMARY
LINK00000079,CUST00000079,DEV00011619,2025-02-25,2025-12-31,328,True,PRIMARY
LINK00000080,CUST00000080,DEV00006247,2025-09-08,2025-12-31,441,True,PRIMARY
LINK00000081,CUST00000081,DEV00014739,2024-01-15,2025-12-31,267,True,PRIMARY
LINK00000082,CUST00000082,DEV00022765,2025-03-07,2025-12-31,276,True,PRIMARY
LINK00000083,CUST00000083,DEV00026559,2025-05-04,2025-12-31,392,True,PRIMARY
LINK00000084,CUST00000084,DEV00009086,2025-03-28,2025-12-31,456,True,PRIMARY
LINK00000085,CUST00000085,DEV00008660,2024-12-30,2025-12-31,204,True,PRIMARY
LINK00000086,CUST00000086,DEV00000430,2023-12-07,2025-12-31,159,True,PRIMARY
LINK00000087,CUST00000087,DEV00013736,2024-03-30,2025-12-31,141,True,PRIMARY
LINK00000088,CUST00000088,DEV00026962,2023-03-23,2025-12-31,457,True,PRIMARY
LINK00000089,CUST00000089,DEV00013136,2025-07-29,2025-12-31,232,True,PRIMARY
LINK00000090,CUST00000090,DEV00007817,2022-09-07,2025-12-31,387,True,PRIMARY
LINK00000091,CUST00000091,DEV00000989,2025-01-14,2025-12-31,229,True,PRIMARY
LINK00000092,CUST00000092,DEV00025661,2023-09-08,2025-12-31,247,True,PRIMARY
LINK00000093,CUST00000093,DEV00013335,2022-05-30,2025-12-31,420,True,PRIMARY
LINK00000094,CUST00000094,DEV00018340,2023-11-28,2025-12-31,203,True,PRIMARY
LINK00000095,CUST00000095,DEV00026766,2022-11-17,2025-12-31,95,True,PRIMARY
LINK00000096,CUST00000096,DEV00014967,2025-04-13,2025-12-31,105,True,PRIMARY
LINK00000097,CUST00000097,DEV00003509,2024-03-25,2025-12-31,143,True,PRIMARY
LINK00000098,CUST00000098,DEV00000744,2024-08-06,2025-12-31,324,True,PRIMARY
LINK00000099,CUST00000099,DEV00009016,2024-04-24,2025-12-31,106,True,PRIMARY
LINK00000100,CUST00000100,DEV00016435,2023-11-24,2025-12-31,217,True,PRIMARY
LINK00000101,CUST00000101,DEV00010232,2023-03-10,2025-12-31,498,True,PRIMARY
LINK00000102,CUST00000102,DEV00025262,2025-11-24,2025-12-31,43,True,PRIMARY
LINK00000103,CUST00000103,DEV00017348,2025-05-31,2025-12-31,168,True,PRIMARY
LINK00000104,CUST00000104,DEV00007845,2025-03-03,2025-12-31,332,True,PRIMARY
LINK00000105,CUST00000105,DEV00011623,2022-07-02,2025-12-31,464,True,PRIMARY
LINK00000106,CUST00000106,DEV00017558,2023-11-18,2025-12-31,36,True,PRIMARY
LINK00000107,CUST00000107,DEV00004605,2022-09-28,2025-12-31,308,True,PRIMARY
LINK00000108,CUST00000108,DEV00008389,2025-10-11,2025-12-31,392,True,PRIMARY
LINK00000109,CUST00000109,DEV00010263,2023-01-08,2025-12-31,280,True,PRIMARY
LINK00000110,CUST00000110,DEV00002894,2023-10-10,2025-12-31,490,True,PRIMARY
LINK00000111,CUST00000111,DEV00013270,2024-02-20,2025-12-31,89,True,PRIMARY
LINK00000112,CUST00000112,DEV00003156,2025-01-01,2025-12-31,67,True,PRIMARY
LINK00000113,CUST00000113,DEV00004607,2023-09-02,2025-12-31,460,True,PRIMARY
LINK00000114,CUST00000114,DEV00001126,2024-07-12,2025-12-31,254,True,PRIMARY
LINK00000115,CUST00000115,DEV00025033,2025-04-12,2025-12-31,216,True,PRIMARY
LINK00000116,CUST00000116,DEV00022754,2022-04-03,2025-12-31,363,True,PRIMARY
LINK00000117,CUST00000117,DEV00003423,2025-01-13,2025-12-31,19,True,PRIMARY
LINK00000118,CUST00000118,DEV00005057,2023-11-13,2025-12-31,27,True,PRIMARY
LINK00000119,CUST00000119,DEV00000828,2025-01-10,2025-12-31,368,True,PRIMARY
LINK00000120,CUST00000120,DEV00019326,2022-11-03,2025-12-31,233,True,PRIMARY
LINK00000121,CUST00000121,DEV00014477,2023-12-08,2025-12-31,448,True,PRIMARY
LINK00000122,CUST00000122,DEV00005984,2025-02-06,2025-12-31,138,True,PRIMARY
LINK00000123,CUST00000123,DEV00008937,2025-09-07,2025-12-31,59,True,PRIMARY
LINK00000124,CUST00000124,DEV00004014,2024-08-15,2025-12-31,198,True,PRIMARY
LINK00000125,CUST00000125,DEV00006006,2023-12-28,2025-12-31,173,True,PRIMARY
LINK00000126,CUST00000126,DEV00026850,2023-10-24,2025-12-31,237,True,PRIMARY
LINK00000127,CUST00000127,DEV00001926,2025-01-05,2025-12-31,215,True,PRIMARY
LINK00000128,CUST00000128,DEV00013017,2023-05-11,2025-12-31,149,True,PRIMARY
LINK00000129,CUST00000129,DEV00026287,2022-02-05,2025-12-31,416,True,PRIMARY
LINK00000130,CUST00000130,DEV00002294,2023-06-06,2025-12-31,102,True,PRIMARY
LINK00000131,CUST00000131,DEV00005158,2024-06-19,2025-12-31,170,True,PRIMARY
LINK00000132,CUST00000132,DEV00019631,2023-08-31,2025-12-31,53,True,PRIMARY
LINK00000133,CUST00000133,DEV00019092,2023-09-17,2025-12-31,358,True,PRIMARY
LINK00000134,CUST00000134,DEV00014350,2022-08-31,2025-12-31,359,True,PRIMARY
LINK00000135,CUST00000135,DEV00007921,2025-05-27,2025-12-31,456,True,PRIMARY
LINK00000136,CUST00000136,DEV00010673,2025-12-26,2025-12-31,446,True,PRIMARY
LINK00000137,CUST00000137,DEV00012246,2024-01-19,2025-12-31,131,True,PRIMARY
LINK00000138,CUST00000138,DEV00007844,2024-11-24,2025-12-31,441,True,PRIMARY
LINK00000139,CUST00000139,DEV00003667,2025-01-04,2025-12-31,31,True,PRIMARY
LINK00000140,CUST00000140,DEV00011277,2023-11-28,2025-12-31,196,True,PRIMARY
LINK00000141,CUST00000141,DEV00006703,2024-12-23,2025-12-31,207,True,PRIMARY
LINK00000142,CUST00000142,DEV00005239,2024-08-22,2025-12-31,309,True,PRIMARY
LINK00000143,CUST00000143,DEV00016556,2025-11-18,2025-12-31,178,True,PRIMARY
LINK00000144,CUST00000144,DEV00000088,2025-04-26,2025-12-31,124,True,PRIMARY
LINK00000145,CUST00000145,DEV00024302,2024-04-14,2025-12-31,197,True,PRIMARY
LINK00000146,CUST00000146,DEV00001192,2023-08-06,2025-12-31,259,True,PRIMARY
LINK00000147,CUST00000147,DEV00025712,2022-05-22,2025-12-31,349,True,PRIMARY
LINK00000148,CUST00000148,DEV00015912,2023-12-02,2025-12-31,281,True,PRIMARY
LINK00000149,CUST00000149,DEV00027519,2024-07-25,2025-12-31,431,True,PRIMARY
LINK00000150,CUST00000150,DEV00019825,2024-12-31,2025-12-31,156,True,PRIMARY
LINK00000151,CUST00000151,DEV00006048,2024-09-30,2025-12-31,456,True,PRIMARY
LINK00000152,CUST00000152,DEV00003369,2025-12-19,2025-12-31,221,True,PRIMARY
LINK00000153,CUST00000153,DEV00020386,2025-09-04,2025-12-31,197,True,PRIMARY
LINK00000154,CUST00000154,DEV00000797,2023-10-30,2025-12-31,364,True,PRIMARY
LINK00000155,CUST00000155,DEV00019946,2025-03-03,2025-12-31,375,True,PRIMARY
LINK00000156,CUST00000156,DEV00016418,2023-05-31,2025-12-31,132,True,PRIMARY
LINK00000157,CUST00000157,DEV00005919,2024-03-10,2025-12-31,249,True,PRIMARY
LINK00000158,CUST00000158,DEV00021891,2025-07-29,2025-12-31,192,True,PRIMARY
LINK00000159,CUST00000159,DEV00006694,2025-02-10,2025-12-31,414,True,PRIMARY
LINK00000160,CUST00000160,DEV00014389,2025-12-22,2025-12-31,317,True,PRIMARY
LINK00000161,CUST00000161,DEV00020370,2025-01-04,2025-12-31,269,True,PRIMARY
LINK00000162,CUST00000162,DEV00016800,2024-05-19,2025-12-31,348,True,PRIMARY
LINK00000163,CUST00000163,DEV00006716,2025-09-29,2025-12-31,373,True,PRIMARY
LINK00000164,CUST00000164,DEV00008071,2025-02-15,2025-12-31,13,True,PRIMARY
LINK00000165,CUST00000165,DEV00019451,2024-06-19,2025-12-31,234,True,PRIMARY
LINK00000166,CUST00000166,DEV00008440,2023-08-29,2025-12-31,303,True,PRIMARY
LINK00000167,CUST00000167,DEV00011136,2023-06-12,2025-12-31,270,True,PRIMARY
LINK00000168,CUST00000168,DEV00018986,2025-09-20,2025-12-31,52,True,PRIMARY
LINK00000169,CUST00000169,DEV00022443,2025-10-08,2025-12-31,351,True,PRIMARY
LINK00000170,CUST00000170,DEV00020605,2025-10-31,2025-12-31,59,True,PRIMARY
LINK00000171,CUST00000171,DEV00024310,2024-11-27,2025-12-31,406,True,PRIMARY
LINK00000172,CUST00000172,DEV00021165,2025-03-26,2025-12-31,265,True,PRIMARY
LINK00000173,CUST00000173,DEV00025807,2024-04-05,2025-12-31,120,True,PRIMARY
LINK00000174,CUST00000174,DEV00001326,2023-11-05,2025-12-31,294,True,PRIMARY
LINK00000175,CUST00000175,DEV00018860,2023-10-20,2025-12-31,37,True,PRIMARY
LINK00000176,CUST00000176,DEV00018373,2025-08-23,2025-12-31,198,True,PRIMARY
LINK00000177,CUST00000177,DEV00022740,2023-02-10,2025-12-31,38,True,PRIMARY
LINK00000178,CUST00000178,DEV00010672,2024-08-26,2025-12-31,496,True,PRIMARY
LINK00000179,CUST00000179,DEV00020294,2023-10-10,2025-12-31,268,True,PRIMARY
LINK00000180,CUST00000180,DEV00014025,2023-03-02,2025-12-31,247,True,PRIMARY
LINK00000181,CUST00000181,DEV00020397,2025-05-03,2025-12-31,165,True,PRIMARY
LINK00000182,CUST00000182,DEV00004580,2025-11-30,2025-12-31,89,True,PRIMARY
LINK00000183,CUST00000183,DEV00021773,2025-08-11,2025-12-31,240,True,PRIMARY
LINK00000184,CUST00000184,DEV00006996,2024-05-11,2025-12-31,310,True,PRIMARY
LINK00000185,CUST00000185,DEV00016613,2023-04-25,2025-12-31,162,True,PRIMARY
LINK00000186,CUST00000186,DEV00004154,2025-02-06,2025-12-31,169,True,PRIMARY
LINK00000187,CUST00000187,DEV00000543,2025-11-02,2025-12-31,389,True,PRIMARY
LINK00000188,CUST00000188,DEV00017804,2023-12-15,2025-12-31,426,True,PRIMARY
LINK00000189,CUST00000189,DEV00003037,2024-05-28,2025-12-31,428,True,PRIMARY
LINK00000190,CUST00000190,DEV00009726,2025-12-05,2025-12-31,335,True,PRIMARY
LINK00000191,CUST00000191,DEV00026874,2025-09-03,2025-12-31,422,True,PRIMARY
LINK00000192,CUST00000192,DEV00026839,2024-10-31,2025-12-31,491,True,PRIMARY
LINK00000193,CUST00000193,DEV00012337,2024-02-20,2025-12-31,478,True,PRIMARY
LINK00000194,CUST00000194,DEV00004983,2025-05-02,2025-12-31,39,True,PRIMARY
LINK00000195,CUST00000195,DEV00016355,2023-02-01,2025-12-31,299,True,PRIMARY
LINK00000196,CUST00000196,DEV00010823,2025-07-07,2025-12-31,50,True,PRIMARY
LINK00000197,CUST00000197,DEV00017683,2025-07-08,2025-12-31,456,True,PRIMARY
LINK00000198,CUST00000198,DEV00005498,2025-12-15,2025-12-31,155,True,PRIMARY
LINK00000199,CUST00000199,DEV00021043,2024-08-01,2025-12-31,113,True,PRIMARY
LINK00000200,CUST00000200,DEV00002339,2023-03-13,2025-12-31,434,True,PRIMARY
LINK00000201,CUST00000201,DEV00019959,2024-06-02,2025-12-31,366,True,PRIMARY
LINK00000202,CUST00000202,DEV00019465,2024-08-07,2025-12-31,20,True,PRIMARY
LINK00000203,CUST00000203,DEV00007480,2024-03-20,2025-12-31,419,True,PRIMARY
LINK00000204,CUST00000204,DEV00026775,2025-01-03,2025-12-31,100,True,PRIMARY
LINK00000205,CUST00000205,DEV00012327,2025-05-01,2025-12-31,412,True,PRIMARY
LINK00000206,CUST00000206,DEV00025701,2022-09-01,2025-12-31,168,True,PRIMARY
LINK00000207,CUST00000207,DEV00004268,2024-07-31,2025-12-31,330,True,PRIMARY
LINK00000208,CUST00000208,DEV00015402,2024-08-11,2025-12-31,496,True,PRIMARY
LINK00000209,CUST00000209,DEV00022617,2025-08-07,2025-12-31,278,True,PRIMARY
LINK00000210,CUST00000210,DEV00022852,2025-02-21,2025-12-31,353,True,PRIMARY
LINK00000211,CUST00000211,DEV00002010,2022-10-25,2025-12-31,85,True,PRIMARY
LINK00000212,CUST00000212,DEV00019481,2025-01-08,2025-12-31,50,True,PRIMARY
LINK00000213,CUST00000213,DEV00027624,2024-09-09,2025-12-31,27,True,PRIMARY
LINK00000214,CUST00000214,DEV00019816,2024-10-19,2025-12-31,266,True,PRIMARY
LINK00000215,CUST00000215,DEV00003263,2023-12-30,2025-12-31,125,True,PRIMARY
LINK00000216,CUST00000216,DEV00020778,2024-07-02,2025-12-31,130,True,PRIMARY
LINK00000217,CUST00000217,DEV00016183,2023-07-06,2025-12-31,266,True,PRIMARY
LINK00000218,CUST00000218,DEV00004313,2023-02-25,2025-12-31,57,True,PRIMARY
LINK00000219,CUST00000219,DEV00012578,2025-04-09,2025-12-31,385,True,PRIMARY
LINK00000220,CUST00000220,DEV00016448,2023-06-09,2025-12-31,112,True,PRIMARY
LINK00000221,CUST00000221,DEV00021434,2025-06-06,2025-12-31,156,True,PRIMARY
LINK00000222,CUST00000222,DEV00003428,2025-08-19,2025-12-31,261,True,PRIMARY
LINK00000223,CUST00000223,DEV00006698,2025-01-15,2025-12-31,74,True,PRIMARY
LINK00000224,CUST00000224,DEV00016772,2025-04-15,2025-12-31,37,True,PRIMARY
LINK00000225,CUST00000225,DEV00016783,2025-01-19,2025-12-31,114,True,PRIMARY
LINK00000226,CUST00000226,DEV00021239,2024-09-17,2025-12-31,288,True,PRIMARY
LINK00000227,CUST00000227,DEV00016174,2024-07-28,2025-12-31,93,True,PRIMARY
LINK00000228,CUST00000228,DEV00025068,2024-01-05,2025-12-31,151,True,PRIMARY
LINK00000229,CUST00000229,DEV00013232,2022-03-27,2025-12-31,419,True,PRIMARY
LINK00000230,CUST00000230,DEV00010688,2025-10-13,2025-12-31,92,True,PRIMARY
LINK00000231,CUST00000231,DEV00012640,2025-11-08,2025-12-31,153,True,PRIMARY
LINK00000232,CUST00000232,DEV00024447,2025-11-11,2025-12-31,415,True,PRIMARY
LINK00000233,CUST00000233,DEV00023234,2023-03-29,2025-12-31,304,True,PRIMARY
LINK00000234,CUST00000234,DEV00015110,2025-05-28,2025-12-31,120,True,PRIMARY
LINK00000235,CUST00000235,DEV00011045,2025-06-01,2025-12-31,227,True,PRIMARY
LINK00000236,CUST00000236,DEV00012065,2022-12-19,2025-12-31,180,True,PRIMARY
LINK00000237,CUST00000237,DEV00011326,2022-12-26,2025-12-31,193,True,PRIMARY
LINK00000238,CUST00000238,DEV00016741,2025-10-19,2025-12-31,446,True,PRIMARY
LINK00000239,CUST00000239,DEV00019179,2025-11-05,2025-12-31,357,True,PRIMARY
LINK00000240,CUST00000240,DEV00014570,2024-06-18,2025-12-31,427,True,PRIMARY
LINK00000241,CUST00000241,DEV00010585,2024-04-15,2025-12-31,489,True,PRIMARY
LINK00000242,CUST00000242,DEV00027974,2023-11-12,2025-12-31,152,True,PRIMARY
LINK00000243,CUST00000243,DEV00003745,2024-10-02,2025-12-31,129,True,PRIMARY
LINK00000244,CUST00000244,DEV00004265,2023-03-17,2025-12-31,245,True,PRIMARY
LINK00000245,CUST00000245,DEV00012237,2025-12-20,2025-12-31,349,True,PRIMARY
LINK00000246,CUST00000246,DEV00003053,2023-09-08,2025-12-31,234,True,PRIMARY
LINK00000247,CUST00000247,DEV00012606,2022-06-09,2025-12-31,100,True,PRIMARY
LINK00000248,CUST00000248,DEV00002998,2024-04-28,2025-12-31,198,True,PRIMARY
LINK00000249,CUST00000249,DEV00001177,2025-05-11,2025-12-31,429,True,PRIMARY
LINK00000250,CUST00000250,DEV00011688,2024-03-17,2025-12-31,303,True,PRIMARY
LINK00000251,CUST00000251,DEV00013159,2025-04-06,2025-12-31,364,True,PRIMARY
LINK00000252,CUST00000252,DEV00005379,2023-03-01,2025-12-31,245,True,PRIMARY
LINK00000253,CUST00000253,DEV00019232,2025-01-14,2025-12-31,182,True,PRIMARY
LINK00000254,CUST00000254,DEV00011759,2025-11-20,2025-12-31,265,True,PRIMARY
LINK00000255,CUST00000255,DEV00006252,2022-10-23,2025-12-31,41,True,PRIMARY
LINK00000256,CUST00000256,DEV00021558,2023-03-06,2025-12-31,33,True,PRIMARY
LINK00000257,CUST00000257,DEV00016288,2023-03-07,2025-12-31,49,True,PRIMARY
LINK00000258,CUST00000258,DEV00018369,2023-09-06,2025-12-31,114,True,PRIMARY
LINK00000259,CUST00000259,DEV00017970,2025-03-28,2025-12-31,343,True,PRIMARY
LINK00000260,CUST00000260,DEV00011782,2025-02-07,2025-12-31,418,True,PRIMARY
LINK00000261,CUST00000261,DEV00007288,2024-12-09,2025-12-31,158,True,PRIMARY
LINK00000262,CUST00000262,DEV00015407,2024-11-11,2025-12-31,89,True,PRIMARY
LINK00000263,CUST00000263,DEV00022264,2024-08-31,2025-12-31,127,True,PRIMARY
LINK00000264,CUST00000264,DEV00014409,2022-07-23,2025-12-31,164,True,PRIMARY
LINK00000265,CUST00000265,DEV00026265,2023-11-15,2025-12-31,308,True,PRIMARY
LINK00000266,CUST00000266,DEV00012670,2023-04-15,2025-12-31,52,True,PRIMARY
LINK00000267,CUST00000267,DEV00016149,2025-11-04,2025-12-31,454,True,PRIMARY
LINK00000268,CUST00000268,DEV00022723,2023-02-09,2025-12-31,52,True,PRIMARY
LINK00000269,CUST00000269,DEV00004225,2025-02-19,2025-12-31,411,True,PRIMARY
LINK00000270,CUST00000270,DEV00016728,2025-03-21,2025-12-31,488,True,PRIMARY
LINK00000271,CUST00000271,DEV00002018,2025-05-26,2025-12-31,24,True,PRIMARY
LINK00000272,CUST00000272,DEV00020716,2023-04-18,2025-12-31,232,True,PRIMARY
LINK00000273,CUST00000273,DEV00013556,2024-12-11,2025-12-31,295,True,PRIMARY
LINK00000274,CUST00000274,DEV00022751,2022-12-16,2025-12-31,22,True,PRIMARY
LINK00000275,CUST00000275,DEV00011676,2025-04-15,2025-12-31,414,True,PRIMARY
LINK00000276,CUST00000276,DEV00022616,2025-10-28,2025-12-31,421,True,PRIMARY
LINK00000277,CUST00000277,DEV00011850,2023-12-10,2025-12-31,141,True,PRIMARY
LINK00000278,CUST00000278,DEV00005291,2025-06-29,2025-12-31,287,True,PRIMARY
LINK00000279,CUST00000279,DEV00016421,2025-12-29,2025-12-31,136,True,PRIMARY
LINK00000280,CUST00000280,DEV00024331,2024-02-02,2025-12-31,108,True,PRIMARY
LINK00000281,CUST00000281,DEV00002226,2025-09-12,2025-12-31,320,True,PRIMARY
LINK00000282,CUST00000282,DEV00013489,2025-12-09,2025-12-31,93,True,PRIMARY
LINK00000283,CUST00000283,DEV00013576,2025-08-30,2025-12-31,148,True,PRIMARY
LINK00000284,CUST00000284,DEV00026080,2024-04-01,2025-12-31,128,True,PRIMARY
LINK00000285,CUST00000285,DEV00023040,2024-10-15,2025-12-31,195,True,PRIMARY
LINK00000286,CUST00000286,DEV00023734,2022-09-22,2025-12-31,32,True,PRIMARY
LINK00000287,CUST00000287,DEV00001973,2024-01-30,2025-12-31,191,True,PRIMARY
LINK00000288,CUST00000288,DEV00024970,2025-11-17,2025-12-31,483,True,PRIMARY
LINK00000289,CUST00000289,DEV00008964,2023-12-14,2025-12-31,381,True,PRIMARY
LINK00000290,CUST00000290,DEV00011525,2025-05-12,2025-12-31,165,True,PRIMARY
LINK00000291,CUST00000291,DEV00000092,2023-09-20,2025-12-31,462,True,PRIMARY
LINK00000292,CUST00000292,DEV00015700,2024-02-17,2025-12-31,264,True,PRIMARY
LINK00000293,CUST00000293,DEV00027975,2025-02-12,2025-12-31,496,True,PRIMARY
LINK00000294,CUST00000294,DEV00011149,2025-01-11,2025-12-31,480,True,PRIMARY
LINK00000295,CUST00000295,DEV00019663,2022-02-12,2025-12-31,482,True,PRIMARY
LINK00000296,CUST00000296,DEV00019994,2024-11-01,2025-12-31,437,True,PRIMARY
LINK00000297,CUST00000297,DEV00023102,2023-09-09,2025-12-31,197,True,PRIMARY
LINK00000298,CUST00000298,DEV00003116,2025-05-29,2025-12-31,246,True,PRIMARY
LINK00000299,CUST00000299,DEV00005699,2025-10-11,2025-12-31,67,True,PRIMARY
LINK00000300,CUST00000300,DEV00016785,2025-01-25,2025-12-31,135,True,PRIMARY
LINK00000301,CUST00000301,DEV00025084,2024-06-16,2025-12-31,468,True,PRIMARY
LINK00000302,CUST00000302,DEV00011439,2025-03-20,2025-12-31,254,True,PRIMARY
